HEB_NAME,LAT,LONG,HEB_WIKI_LINK
אעצם,31.296499678549367,34.903596656729,https://he.wikipedia.org/wiki/אעצם
אבו סנאן,32.95891,35.17152,https://he.wikipedia.org/wiki/אבו_סנאן
אבו תלול,31.14229,34.91424,https://he.wikipedia.org/wiki/אבו_תלול
אדמית,33.07971,35.21103,https://he.wikipedia.org/wiki/אדמית
עדנים,32.13902,34.90798,https://he.wikipedia.org/wiki/עדנים
אדרת,31.66071,34.99564,https://he.wikipedia.org/wiki/אדרת
אדירים,32.5491,35.2719,https://he.wikipedia.org/wiki/אדירים
עדי,32.78486,35.17282,https://he.wikipedia.org/wiki/עדי
אדורה,31.55315,35.01839,https://he.wikipedia.org/wiki/אדורה
אפיניש,31.316439141319577,34.997244306867785,https://he.wikipedia.org/wiki/אפיניש
אפק,32.84589,35.11367,https://he.wikipedia.org/wiki/אפק
אפיק,32.78010627276412,35.701145854505775,https://he.wikipedia.org/wiki/אפיק_(קיבוץ)
אפיקים,32.68046,35.57776,https://he.wikipedia.org/wiki/אפיקים
עפולה,32.60907,35.2892,https://he.wikipedia.org/wiki/עפולה
עגור,31.698531665373697,34.91143498062876,https://he.wikipedia.org/wiki/עגור_(מושב)
אחווה,31.74328,34.7688,https://he.wikipedia.org/wiki/אחווה_(מרכז_כפרי)
אחיעזר,31.98133,34.87213,https://he.wikipedia.org/wiki/אחיעזר
אחיהוד,32.90836,35.17137,https://he.wikipedia.org/wiki/אחיהוד
אחיסמך,31.93503,34.90739,https://he.wikipedia.org/wiki/אחיסמך
אחיטוב,32.38873,34.99072,https://he.wikipedia.org/wiki/אחיטוב
אחוזם,31.55385,34.77009,https://he.wikipedia.org/wiki/אחוזם
אחוזת ברק,32.64187,35.33834,https://he.wikipedia.org/wiki/אחוזת_ברק
עכו,32.92814,35.07647,https://he.wikipedia.org/wiki/עכו
א-סייד,31.28252,34.91505,https://he.wikipedia.org/wiki/א-סייד
עלי זהב,32.072307359163,35.06349987991041,https://he.wikipedia.org/wiki/עלי_זהב
אלפי מנשה,32.17265,35.01179,https://he.wikipedia.org/wiki/אלפי_מנשה
אלון הגליל,32.75742,35.22089,https://he.wikipedia.org/wiki/אלון_הגליל
אלון שבות,31.65365938289113,35.12613989047807,https://he.wikipedia.org/wiki/אלון_שבות
אלוני אבא,32.73016,35.17138,https://he.wikipedia.org/wiki/אלוני_אבא
אלוני הבשן,33.04410781139195,35.83810898466913,https://he.wikipedia.org/wiki/אלוני_הבשן
אלוני יצחק,32.51027,35.00276,https://he.wikipedia.org/wiki/אלוני_יצחק
אלונים,32.72104182521638,35.14472027404406,https://he.wikipedia.org/wiki/אלונים
עלמה,33.0516,35.49965,https://he.wikipedia.org/wiki/עלמה
אלמגור,32.91246,35.6022,https://he.wikipedia.org/wiki/אלמגור
אלמוג,31.789183557480637,35.461733177961975,https://he.wikipedia.org/wiki/אלמוג_(קיבוץ)
עלמון,31.830035269624467,35.29395833075691,https://he.wikipedia.org/wiki/עלמון
עלומים,31.45232,34.51384,https://he.wikipedia.org/wiki/עלומים_(קיבוץ)
אלומה,31.65177,34.74338,https://he.wikipedia.org/wiki/אלומה_(יישוב)
אלומות,32.70654,35.54622,https://he.wikipedia.org/wiki/אלומות
אמציה,31.53257,34.9143,https://he.wikipedia.org/wiki/אמציה_(מושב)
עמיר,33.17777631046802,35.62005926087235,https://he.wikipedia.org/wiki/עמיר
אמירים,32.93792,35.45187,https://he.wikipedia.org/wiki/אמירים
עמיעד,32.93035,35.54052,https://he.wikipedia.org/wiki/עמיעד
עמיעוז,31.24833,34.41329,https://he.wikipedia.org/wiki/עמיעוז
עמיחי,32.044693073753194,35.327478364267975,https://he.wikipedia.org/wiki/עמיחי_(יישוב)
עמינדב,31.75212,35.14733,https://he.wikipedia.org/wiki/עמינדב
עמיקם,32.56348,35.02078,https://he.wikipedia.org/wiki/עמיקם
אמנון,32.90459,35.57151,https://he.wikipedia.org/wiki/אמנון_(מושב)
עמקה,32.97987,35.16331,https://he.wikipedia.org/wiki/עמקה
עמוקה,32.99853,35.52427,https://he.wikipedia.org/wiki/עמוקה
אניעם,32.95822,35.73889,https://he.wikipedia.org/wiki/אניעם
ערערה,32.49791435654475,35.09680682629664,https://he.wikipedia.org/wiki/ערערה
ערערה בנגב,31.16046,35.02274,https://he.wikipedia.org/wiki/ערערה_בנגב
ערד,31.25882,35.21282,https://he.wikipedia.org/wiki/ערד
ערב אל-עראמשה,33.08781,35.22836,https://he.wikipedia.org/wiki/ערב_אל-עראמשה
ארבל,32.81208246615042,35.486000006642556,https://he.wikipedia.org/wiki/ארבל_(מושב)
ארגמן,32.17259230898911,35.523108998984306,https://he.wikipedia.org/wiki/ארגמן_(מושב)
אריאל,32.10635,35.1892,https://he.wikipedia.org/wiki/אריאל
ערב א-נעים,32.8878380741881,35.290075600485466,https://he.wikipedia.org/wiki/ערב_א-נעים
עראבה,32.85093,35.33707,https://he.wikipedia.org/wiki/עראבה
ארסוף,32.21324,34.81573,https://he.wikipedia.org/wiki/ארסוף
ערוגות,31.73503,34.77016,https://he.wikipedia.org/wiki/ערוגות
עשהאל,31.37324120186319,35.043862453563335,https://he.wikipedia.org/wiki/עשהאל
עשרת,31.82508,34.74739,https://he.wikipedia.org/wiki/עשרת
אשלים,30.96409,34.69934,https://he.wikipedia.org/wiki/אשלים
אשדוד,31.79213,34.64966,https://he.wikipedia.org/wiki/אשדוד
אשדות יעקב איחוד,32.65843,35.58117,https://he.wikipedia.org/wiki/אשדות_יעקב_איחוד
אשדות יעקב מאוחד,32.661899791165474,35.58396558089034,https://he.wikipedia.org/wiki/אשדות_יעקב_מאוחד
אשרת,32.97245,35.15513,https://he.wikipedia.org/wiki/אשרת_(יישוב)
אשקלון,31.66926,34.57149,https://he.wikipedia.org/wiki/אשקלון
עטרת,32.00119162828481,35.17642499850047,https://he.wikipedia.org/wiki/עטרת
עתלית,32.68889,34.94236,https://he.wikipedia.org/wiki/עתלית
אטרש,31.26415204500599,34.94935853431467,https://he.wikipedia.org/wiki/אטרש
עצמון-שגב,32.86720130604475,35.25215336878934,https://he.wikipedia.org/wiki/עצמון-שגב
עבדון,33.04789,35.17995,https://he.wikipedia.org/wiki/עבדון
אבנת,31.679180908146147,35.435303880232276,https://he.wikipedia.org/wiki/אבנת
אביאל,32.53195,34.9936,https://he.wikipedia.org/wiki/אביאל
אביעזר,31.68161,35.01767,https://he.wikipedia.org/wiki/אביעזר
אביגיל,31.403611,35.140556,https://he.wikipedia.org/wiki/אביגיל_(יישוב)
אביגדור,31.71083,34.7444,https://he.wikipedia.org/wiki/אביגדור
אביחיל,32.3504,34.87119,https://he.wikipedia.org/wiki/אביחיל
אביטל,32.55738531242271,35.30655879931762,https://he.wikipedia.org/wiki/אביטל
אביבים,33.08892,35.47228,https://he.wikipedia.org/wiki/אביבים
אבני איתן,32.82291,35.76669,https://he.wikipedia.org/wiki/אבני_איתן
אבני חפץ,32.28562010853817,35.073594862594014,https://he.wikipedia.org/wiki/אבני_חפץ
אבשלום,31.19531,34.33076,https://he.wikipedia.org/wiki/אבשלום_(יישוב)
אבטליון,32.83709,35.34893,https://he.wikipedia.org/wiki/אבטליון_(יישוב)
עיינות,31.915530685426234,34.76886579102517,https://he.wikipedia.org/wiki/עיינות
איילת השחר,33.02224,35.57716,https://he.wikipedia.org/wiki/איילת_השחר_(קיבוץ)
עזריה,31.89137,34.91044,https://he.wikipedia.org/wiki/עזריה
אזור,32.0243,34.80632,https://he.wikipedia.org/wiki/אזור
עזריאל,32.26137,34.97006,https://he.wikipedia.org/wiki/עזריאל_(מושב)
עזריקם,31.7507,34.69933,https://he.wikipedia.org/wiki/עזריקם
בחן,32.35082,35.01862,https://he.wikipedia.org/wiki/בחן
בלפוריה,32.63065837500993,35.29612045020816,https://he.wikipedia.org/wiki/בלפוריה
באקה אל-גרבייה,32.41806,35.04312,https://he.wikipedia.org/wiki/באקה_אל-גרבייה
בר גיורא,31.72973,35.07296,https://he.wikipedia.org/wiki/בר_גיורא_(מושב)
בר יוחאי,32.99848,35.44419,https://he.wikipedia.org/wiki/בר_יוחאי_(יישוב)
ברעם,33.05886407795147,35.43422341299659,https://he.wikipedia.org/wiki/ברעם
ברק,32.54272155698582,35.26498321164152,https://he.wikipedia.org/wiki/ברק
ברקת,32.01839,34.94416,https://he.wikipedia.org/wiki/ברקת_(מושב)
ברקן,32.108809987398 35.10519501891198,https://he.wikipedia.org/wiki/ברקן
ברקאי,32.4751,35.02966,https://he.wikipedia.org/wiki/ברקאי
"בסמ""ה",32.53182321438513,35.10490179036211,"https://he.wikipedia.org/wiki/בסמ""ה"
בסמת טבעון,32.73898,35.15716,https://he.wikipedia.org/wiki/בסמת_טבעון
בת עין,31.65756,35.10345,https://he.wikipedia.org/wiki/בת_עין
בת הדר,31.64773,34.59661,https://he.wikipedia.org/wiki/בת_הדר
בת חפר,32.33307,35.01272,https://he.wikipedia.org/wiki/בת_חפר
בת חן,32.36055,34.87197,https://he.wikipedia.org/wiki/בת_חן
בת שלמה,32.60031,35.00395,https://he.wikipedia.org/wiki/בת_שלמה
בת ים,32.02379,34.75185,https://he.wikipedia.org/wiki/בת_ים
בצרה,32.21412,34.87676,https://he.wikipedia.org/wiki/בצרה_(ישראל)
באר מילכה,30.932995636400822,34.40714471687039,https://he.wikipedia.org/wiki/באר_מילכה
באר אורה,29.71053,34.98019,https://he.wikipedia.org/wiki/באר_אורה
באר שבע,31.25181,34.7913,https://he.wikipedia.org/wiki/באר_שבע
באר טוביה,31.73343715033842,34.72359680460241,https://he.wikipedia.org/wiki/באר_טוביה
באר יעקב,31.93864,34.83749,https://he.wikipedia.org/wiki/באר_יעקב
בארי,31.424261405325243,34.49087065343508,https://he.wikipedia.org/wiki/בארי_(קיבוץ)
בארות יצחק,32.0403,34.91068,https://he.wikipedia.org/wiki/בארות_יצחק
בארותיים,32.32111,34.98324,https://he.wikipedia.org/wiki/בארותיים
באר גנים,31.701613441069377,34.61029310149757,https://he.wikipedia.org/wiki/באר_גנים
בית ג'ן,32.96464,35.38152,https://he.wikipedia.org/wiki/בית_ג'ן
בן-עמי,33.00697,35.12562,https://he.wikipedia.org/wiki/בן-עמי
בן שמן,31.95281,34.922,https://he.wikipedia.org/wiki/בן_שמן
כפר הנוער בן שמן,31.958799670801074,34.928474667201364,https://he.wikipedia.org/wiki/כפר_הנוער_בן_שמן
בן זכאי,31.85612,34.72747,https://he.wikipedia.org/wiki/בן_זכאי
בניה,31.84341,34.75398,https://he.wikipedia.org/wiki/בניה_(מושב)
בני עטרות,32.02364,34.91288,https://he.wikipedia.org/wiki/בני_עטרות
"בני עי""ש",31.789861613135674,34.760133117781976,"https://he.wikipedia.org/wiki/בני_עי""ש"
בני ברק,32.08074,34.8338,https://he.wikipedia.org/wiki/בני_ברק
בני דרום,31.82034,34.69235,https://he.wikipedia.org/wiki/בני_דרום
בני דרור,32.2615,34.90196,https://he.wikipedia.org/wiki/בני_דרור
בני נצרים,31.141145208058827,34.31513070130337,https://he.wikipedia.org/wiki/בני_נצרים
בני ראם,31.77029,34.79105,https://he.wikipedia.org/wiki/בני_ראם
בני יהודה,32.79845,35.68903,https://he.wikipedia.org/wiki/בני_יהודה
בני ציון,32.21642711954262,34.865825984866646,https://he.wikipedia.org/wiki/בני_ציון
בקעות,32.2428,35.45288,https://he.wikipedia.org/wiki/בקעות
בקוע,31.82902,34.92579,https://he.wikipedia.org/wiki/בקוע
ברכה,32.19275,35.26538,https://he.wikipedia.org/wiki/ברכה
ברכיה,31.66895,34.6258,https://he.wikipedia.org/wiki/ברכיה_(מושב)
ברור חיל,31.55764,34.64664,https://he.wikipedia.org/wiki/ברור_חיל
ברוש,31.37121,34.63395,https://he.wikipedia.org/wiki/ברוש_(מושב)
בית אלפא,32.51609,35.43068,https://he.wikipedia.org/wiki/בית_אלפא
בית עריף,31.99622,34.93459,https://he.wikipedia.org/wiki/בית_עריף
בית אריה-עופרים,32.03333,35.05,https://he.wikipedia.org/wiki/בית_אריה-עופרים
בית ברל,32.20075943192315,34.926591406422624,https://he.wikipedia.org/wiki/בית_ברל
בית דגן,32.00191,34.82977,https://he.wikipedia.org/wiki/בית_דגן
בית אל,31.941514754376332,35.22525963574826,https://he.wikipedia.org/wiki/בית_אל
בית אלעזרי,31.84429,34.80368,https://he.wikipedia.org/wiki/בית_אלעזרי
בית עזרא,31.73606,34.65594,https://he.wikipedia.org/wiki/בית_עזרא
בית גמליאל,31.85555,34.76249,https://he.wikipedia.org/wiki/בית_גמליאל
בית גוברין,31.61294,34.89571,https://he.wikipedia.org/wiki/בית_גוברין_(קיבוץ)
בית הערבה,31.80749,35.47648,https://he.wikipedia.org/wiki/בית_הערבה
בית העמק,32.97184989599024,35.14538385740368,https://he.wikipedia.org/wiki/בית_העמק
בית הגדי,31.42516,34.60601,https://he.wikipedia.org/wiki/בית_הגדי
הרצליה,32.35285,34.93012,https://he.wikipedia.org/wiki/הרצליה
בית-חנן,31.93432,34.77304,https://he.wikipedia.org/wiki/בית-חנן
בית חנניה,32.52913,34.92596,https://he.wikipedia.org/wiki/בית_חנניה
בית השיטה,32.55131,35.43874,https://he.wikipedia.org/wiki/בית_השיטה
בית חשמונאי,31.88969,34.91673,https://he.wikipedia.org/wiki/בית_חשמונאי_(יישוב)
בית חרות,32.37623,34.87357,https://he.wikipedia.org/wiki/בית_חרות
בית הלל,33.20855,35.60697,https://he.wikipedia.org/wiki/בית_הלל_(מושב)
בית חלקיה,31.79281,34.81048,https://he.wikipedia.org/wiki/בית_חלקיה
בית חגלה,31.823136157568,35.50593344382028,https://he.wikipedia.org/wiki/בית_חגלה
בית חורון,31.879751051792873,35.126009143210595,https://he.wikipedia.org/wiki/בית_חורון
בית לחם הגלילית,32.73568,35.19146,https://he.wikipedia.org/wiki/בית_לחם_הגלילית
בית מאיר,31.79393,35.03689,https://he.wikipedia.org/wiki/בית_מאיר
בית נחמיה,31.97913,34.9505,https://he.wikipedia.org/wiki/בית_נחמיה
בית נקופה,31.80452,35.12595,https://he.wikipedia.org/wiki/בית_נקופה
בית ניר,31.64747,34.87382,https://he.wikipedia.org/wiki/בית_ניר
בית אורן,32.73069,35.00677,https://he.wikipedia.org/wiki/בית_אורן
בית עובד,31.92206,34.7741,https://he.wikipedia.org/wiki/בית_עובד
בית קמה,31.44749,34.76235,https://he.wikipedia.org/wiki/בית_קמה
בית קשת,32.71869,35.39516,https://he.wikipedia.org/wiki/בית_קשת
גבעת וושינגטון,31.81677,34.72937,https://he.wikipedia.org/wiki/גבעת_וושינגטון
בית רימון,32.77995,35.32766,https://he.wikipedia.org/wiki/בית_רימון
בית שאן,32.49728,35.49632,https://he.wikipedia.org/wiki/בית_שאן
בית שערים,32.69692262677951,35.179399543358066,https://he.wikipedia.org/wiki/בית_שערים
בית שמש,31.73072,34.99293,https://he.wikipedia.org/wiki/בית_שמש
בית שקמה,31.63589,34.60636,https://he.wikipedia.org/wiki/בית_שקמה
בית עוזיאל,31.87039,34.90483,https://he.wikipedia.org/wiki/בית_עוזיאל
בית ינאי,32.38091,34.8635,https://he.wikipedia.org/wiki/בית_ינאי
בית יהושע,32.25942,34.86414,https://he.wikipedia.org/wiki/בית_יהושע
בית יצחק-שער חפר,32.33433772685173,34.890155602436145,https://he.wikipedia.org/wiki/בית_יצחק-שער_חפר
בית יוסף,32.55836,35.55227,https://he.wikipedia.org/wiki/בית_יוסף_(מושב)
בית זית,31.78233,35.16161,https://he.wikipedia.org/wiki/בית_זית
בית זייד,32.70236094342373,35.13115749676183,https://he.wikipedia.org/wiki/בית_זייד
בית זרע,32.6886,35.57281,https://he.wikipedia.org/wiki/בית_זרע
כפר צבי סיטרין,32.72045,34.96986,https://he.wikipedia.org/wiki/כפר_צבי_סיטרין
ביתר עילית,31.7,35.11667,https://he.wikipedia.org/wiki/ביתר_עילית
בצת,33.07144,35.13473,https://he.wikipedia.org/wiki/בצת
בנימינה-גבעת עדה,32.5232,34.94499,https://he.wikipedia.org/wiki/בנימינה-גבעת_עדה
ביר אל-מכסור,32.77732,35.22069,https://he.wikipedia.org/wiki/ביר_אל-מכסור
ביריה,32.97832,35.49973,https://he.wikipedia.org/wiki/ביריה
ביתן אהרן,32.36738,34.8743,https://he.wikipedia.org/wiki/ביתן_אהרן
בטחה,31.33431,34.63371,https://he.wikipedia.org/wiki/בטחה
ביצרון,31.79446,34.72806,https://he.wikipedia.org/wiki/ביצרון
בני דקלים,31.516296407030428,34.917384852093434,https://he.wikipedia.org/wiki/בני_דקלים
ברוכין,32.07216,35.09943,https://he.wikipedia.org/wiki/ברוכין
בועיינה-נוג'ידאת,32.80966,35.36987,https://he.wikipedia.org/wiki/בועיינה-נוג'ידאת
בוקעאתא,33.20111,35.77917,https://he.wikipedia.org/wiki/בוקעאתא
בורגתא,32.32635,34.96236,https://he.wikipedia.org/wiki/בורגתא
בוסתן הגליל,32.95119,35.08298,https://he.wikipedia.org/wiki/בוסתן_הגליל
דבורייה,32.69256,35.37123,https://he.wikipedia.org/wiki/דבורייה
דפנה,33.23013,35.63867,https://he.wikipedia.org/wiki/דפנה_(קיבוץ)
דחי,32.62094,35.34454,https://he.wikipedia.org/wiki/דחי_(כפר)
דלית אל-כרמל,32.69383,35.04686,https://he.wikipedia.org/wiki/דלית_אל-כרמל
דליה,32.58943472038071,35.07512272844359,https://he.wikipedia.org/wiki/דליה_(קיבוץ)
דלתון,33.016702864327,35.488471092871876,https://he.wikipedia.org/wiki/דלתון_(מושב)
דן,33.239399062320174,35.65336348127006,https://he.wikipedia.org/wiki/דן_(קיבוץ)
דברת,32.64753,35.34967,https://he.wikipedia.org/wiki/דברת
דגניה א,32.70798,35.57487,https://he.wikipedia.org/wiki/דגניה א
דגניה ב,32.69987,35.57596,https://he.wikipedia.org/wiki/דגניה ב
דיר אל-אסד,32.93598,35.26998,https://he.wikipedia.org/wiki/דיר_אל-אסד
דיר חנא,32.86196,35.36365,https://he.wikipedia.org/wiki/דיר_חנא
דיר ראפאת,31.77643,34.94705,https://he.wikipedia.org/wiki/דיר_ראפאת
דמיידה,32.81519,35.22724,https://he.wikipedia.org/wiki/דמיידה
דקל,31.196302806559768,34.34754349259627,https://he.wikipedia.org/wiki/דקל_(מושב)
דריג'את,31.30239809183615,35.077387117988735,https://he.wikipedia.org/wiki/דריג'את
דבורה,32.554124295498546,35.263246431685715,https://he.wikipedia.org/wiki/דבורה_(מושב)
דימונה,31.07079,35.03269,https://he.wikipedia.org/wiki/דימונה
דישון,33.08263077662494,35.517938093151926,https://he.wikipedia.org/wiki/דישון_(מושב)
דולב,31.92609,35.13393,https://he.wikipedia.org/wiki/דולב_(יישוב)
דור,32.60844,34.91414,https://he.wikipedia.org/wiki/דור_(מושב)
דורות,31.50646,34.6456,https://he.wikipedia.org/wiki/דורות
דובב,33.051039079753345,35.40623573043287,https://he.wikipedia.org/wiki/דובב
דביר,31.41222,34.8254,https://he.wikipedia.org/wiki/דביר_(קיבוץ)
אפרת,31.65305,35.15013,https://he.wikipedia.org/wiki/אפרת
עיילבון,32.83693,35.40029,https://he.wikipedia.org/wiki/עיילבון
עין אל-אסד,32.94137,35.39639,https://he.wikipedia.org/wiki/עין_אל-אסד
עין הוד,32.70096,34.98362,https://he.wikipedia.org/wiki/עין_הוד
עין מאהל,32.72304,35.35303,https://he.wikipedia.org/wiki/עין_מאהל
עין נקובא,31.79366,35.12064,https://he.wikipedia.org/wiki/עין_נקובא
עין קנייא,33.23624288397188,35.731733677593795,https://he.wikipedia.org/wiki/עין_קנייא
עין ראפה,31.7902,35.11528,https://he.wikipedia.org/wiki/עין_ראפה
אלעד,32.0502009931771,34.95134492317009,https://he.wikipedia.org/wiki/אלעד
תלמי אלעזר,32.44566,34.97717,https://he.wikipedia.org/wiki/תלמי_אלעזר
אל-רום,33.18083,35.77165,https://he.wikipedia.org/wiki/אל-רום
אילת,29.55805,34.94821,https://he.wikipedia.org/wiki/אילת
עלי,32.07233198839848,35.26543390209591,https://he.wikipedia.org/wiki/עלי_(יישוב)
אלי-עד,32.8057,35.7349,https://he.wikipedia.org/wiki/אלי-עד
אליאב,31.52961,34.93046,https://he.wikipedia.org/wiki/אליאב
אליפז,29.7949,35.0113,https://he.wikipedia.org/wiki/אליפז_(קיבוץ)
אליפלט,32.94722,35.54791,https://he.wikipedia.org/wiki/אליפלט
https://he.wikipedia.org/wiki/אלישמע,32.15208,34.92827,אלישמע
אילון,33.06365,35.22009,https://he.wikipedia.org/wiki/אילון
אלון מורה,32.231476713560795,35.33575938936239,https://he.wikipedia.org/wiki/אלון_מורה
אלקנה,32.110472272608845,35.033887443477624,https://he.wikipedia.org/wiki/אלקנה
אלקוש,33.03346,35.32443,https://he.wikipedia.org/wiki/אלקוש
אליכין,32.40793,34.92433,https://he.wikipedia.org/wiki/אליכין
אליקים,32.63196,35.06694,https://he.wikipedia.org/wiki/אליקים
אלישיב,32.38108,34.90883,https://he.wikipedia.org/wiki/אלישיב_(מושב)
אמונים,31.74391,34.6754,https://he.wikipedia.org/wiki/אמונים
עין אילה,32.62899,34.94483,https://he.wikipedia.org/wiki/עין_אילה
עין דור,32.65614,35.41703,https://he.wikipedia.org/wiki/עין_דור
עין גדי,31.45238,35.38443,https://he.wikipedia.org/wiki/עין_גדי_(קיבוץ)
עין גב,32.78269,35.63841,https://he.wikipedia.org/wiki/עין_גב
עין הבשור,31.28216,34.44149,https://he.wikipedia.org/wiki/עין_הבשור
עין העמק,32.63068662305211,35.0844534655513,https://he.wikipedia.org/wiki/עין_העמק
עין החורש,32.38629,34.93967,https://he.wikipedia.org/wiki/עין_החורש
עין המפרץ,32.90308,35.09619,https://he.wikipedia.org/wiki/עין_המפרץ
"עין הנצי""ב",32.47037,35.50242,"https://he.wikipedia.org/wiki/עין_הנצי""ב"
עין חרוד איחוד,32.56382,35.39037,https://he.wikipedia.org/wiki/עין_חרוד_איחוד
עין חרוד מאוחד,32.55784,35.39214,https://he.wikipedia.org/wiki/עין_חרוד_מאוחד
עין השלושה,31.35134314100061,34.401393531747615,https://he.wikipedia.org/wiki/עין_השלושה
עין השופט,3232.59482812018101,35.10098029676803,https://he.wikipedia.org/wiki/עין_השופט
עין חצבה,30.79872,35.246,https://he.wikipedia.org/wiki/עין_חצבה_(מושב)
עין הוד,32.70161958431534,34.98203505365431,https://he.wikipedia.org/wiki/עין_הוד
עין עירון,32.485395708471025,35.009357772929654,https://he.wikipedia.org/wiki/עין_עירון
ען כרם,31.767714827030957,35.16112802731233,https://he.wikipedia.org/wiki/ען_כרם
עין כרמל,32.67539095666621,34.9518659602996,https://he.wikipedia.org/wiki/עין_כרמל
עין שריד,32.27413,34.93408,https://he.wikipedia.org/wiki/עין_שריד
עין שמר,32.46323,35.00687,https://he.wikipedia.org/wiki/עין_שמר
עין תמר,30.943,35.374,https://he.wikipedia.org/wiki/עין_תמר
עין ורד,32.26667,34.93333,https://he.wikipedia.org/wiki/עין_ורד
עין יעקב,33.01061426387807,35.22773281272015,https://he.wikipedia.org/wiki/עין_יעקב
עין יהב,30.65611887495906,35.23308706610531,https://he.wikipedia.org/wiki/עין_יהב
עין זיוון,33.09653,35.79636,https://he.wikipedia.org/wiki/עין_זיוון
עין צורים,31.69464,34.7194,https://he.wikipedia.org/wiki/עין_צורים
עינת,32.08318,34.93866,https://he.wikipedia.org/wiki/עינת
ענב,32.28626357443882,35.124942582175024,https://he.wikipedia.org/wiki/ענב_(יישוב)
ארז,31.560221254793525,34.56388196300577,https://he.wikipedia.org/wiki/ארז_(קיבוץ)
אשבול,31.44677,34.6672,https://he.wikipedia.org/wiki/אשבול_(מושב)
אשל הנשיא,31.32567,34.69744,https://he.wikipedia.org/wiki/אשל_הנשיא
אשחר,32.8864,35.30059,https://he.wikipedia.org/wiki/אשחר_(יישוב)
אשכולות,31.391472981238497,34.904598156062434,https://he.wikipedia.org/wiki/אשכולות
אשתאול,31.78072,35.00994,https://he.wikipedia.org/wiki/אשתאול
איתן,31.57396356372985,34.74849881116888,https://he.wikipedia.org/wiki/איתן_(מושב)
אתגר,32.85920588153256,35.25602902233222,https://he.wikipedia.org/wiki/אתגר_(יישוב)
אבן מנחם,33.07421,35.29404,https://he.wikipedia.org/wiki/אבן_מנחם
אבן ספיר,31.76319,35.13422,https://he.wikipedia.org/wiki/אבן_ספיר
אבן שמואל,31.57641,34.76342,https://he.wikipedia.org/wiki/אבן_שמואל
אבן יהודה,32.26959,34.88759,https://he.wikipedia.org/wiki/אבן_יהודה
גלעד,32.55716,35.07704,https://he.wikipedia.org/wiki/גלעד_(קיבוץ)
עברון,32.99556,35.10092,https://he.wikipedia.org/wiki/עברון
אייל,32.21156,34.97946,https://he.wikipedia.org/wiki/אייל_(קיבוץ)
